iter;T;amounts;Components;phases;ellapsed_time;possible_phases;P;Error
11;1863;[0.22876652850833845, 0.19041496633540317, 0.12060173734846892, 0.1662973597699452, 0.1385125486173872, 0.05367819676532595, 0.05019802132017606, 0.05153064133495502];21427291728907264;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270405284690822168610426907578157328806806119856417378962370441098516368027172400671582678279255116968452403213272927868695455817299040387801261755686553388803530044023089230411007101935427558565054277323159033900567342506926412629345693693213275385656106821339455434116446029665422390309307855003078285283855575445143552;19.607967862000805;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
12;1392;[0.2805796197972338, 0.15205264190931356, 0.12847246558529968, 0.07987525213784542, 0.05051607023325414, 0.16445444422464656, 0.0817015780230716, 0.062347928089335286];21427291728907264;60844839888256493900639529979947973261525898800284665139948210720040646768560477906449041085768990618715661629578882697036623929851469620755298532441210283343086582100303088894778440157786369427213360379715951091808778855782289003027695554278017016140786441902308581135552740008305024557209060989442387708299200348110943262603870668243015728838986816193338023610445896486189293343270025641213544464141131305161070556996051235030171648;19.655544364999514;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
13;1031;[0.20230450238129755, 0.08192324683931149, 0.23759005806992528, 0.2420539574023401, 0.06834096405678144, 0.0535380857217941, 0.05532796785726618, 0.05892121767128391];21427291728907264;674810573150275710968556550255108348257895092350261142703977826169262424555175235161232419159252632892941837973012071720464616950622719391709686638959411270672610421389958717887947957954743833696685352682436101139109412876772706887530029814668767286176542801577194427885213526404323495634126155254552550211247039570888485708645719246020177958017429222881260137676206072844254566075853516002204618047922389016395224647257752155461240664403496461425234701569291978201206424277584111216257116244515695056400366260451666766594357758947376503448093700034371209461235712;19.388497662999725;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
14;2472;[0.32554804831871065, 0.2296833753380687, 0.12073475274452199, 0.058281995442794804, 0.07386664902757885, 0.09127036245602968, 0.050496018600777015, 0.05011879807151829];21427291728907264;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270405284690822168610426907578157328806806119856417378962370441098516368027172400671582678279255116968452403213272927868695455817299040387801261755686553388803530044023089230411007101935427558565054277323159033900567342506926412629345693693213275385656106821339455434116446029665422390309307855003078285283855575445143552;20.00773515900073;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
15;1286;[0.3134028797612121, 0.3340848335893982, 0.054497858627498195, 0.07333455412024115, 0.05170815622821534, 0.06747233820209238, 0.05421161413897815, 0.05128776533236441];21427291728907264;674810573150275710968556550255108348257895092350261142703977813046273342128927438033555485278619592408041319575232676437658190426962945233322760094245840139251922153142840172256288464756985106558362557107534240168146841578911490103784090497371468431014842029322584168368651490302863918956726370036797953495707415970666014885361556241223957780385032561729125358385173122586288827715173114670466761918323413530584117965691294671225285783807981013862566959604832296215911912708362292164934018275343100886798248958325557459633113728038829781687335280562526652186230784;19.054858363000676;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
16;2246;[0.3340546039114972, 0.09953808769223829, 0.19057615341735962, 0.12632841324001756, 0.09773860787864974, 0.051638727746236575, 0.05009471487335024, 0.0500306912406507];21427291728907264;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270405284690822168610426907578157328806806119856417378962370441098516368027172400671582678279255116968452403213272927868695455817299040387801261755686553388803530044023089230411007101935427558565054277323159033900567342506926412629345693693213275385656106821339455434116446029665422390309307855003078285283855575445143552;18.22002655899996;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
17;1576;[0.16969768999922874, 0.25150608789148493, 0.15410822536331825, 0.20715178229073367, 0.05791735779900106, 0.05238456856212886, 0.050463181779508044, 0.05677110631459651];21427291728907264;60844839888256493900639529979947973261525898800284665139948210720040646768560477906449041085768990618715661629578882697036623929851469620755298532441210283343086582100303088894778440157786369427213360379715951091808778855782289003027695554278017016140786441902308581135552740008305024557209060989442387708299200348110943262603870668243015728838986816193338023610445896486189293343270025641213544464141131305161070556996051235030171648;18.537780097001814;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
18;2568;[0.1190344197789731, 0.11606521533546785, 0.07129792580270976, 0.23933088718102968, 0.10821338266483307, 0.22751499014050997, 0.06594037318457649, 0.05260280591190015];21427291728907264;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270405284690822168610426907578157328806806119856417378962370441098516368027172400671582678279255116968452403213272927868695455817299040387801261755686553388803530044023089230411007101935427558565054277323159033900567342506926412629345693693213275385656106821339455434116446029665422390309307855003078285283855575445143552;18.506374798998877;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
19;1274;[0.1335431791893641, 0.1956243497451472, 0.2117701794184264, 0.20122574509185825, 0.10103398980490133, 0.05391971244741198, 0.05070052321585868, 0.05218232108703212];21427291728907264;13122989082426247797127676933880552163820472641640416099783597378667805114683184254427240803407620140696864066285582202982369994460146136310564238524135787896969479340670494587889166954136013437867232916641525382803051169120661778048945313509785665693901066471117863423391977262760731811509930598960879901693127828650324755312660940610579266193962847673148870620089729144751776183463493296035907808896215018752701432434257873923325073580125528773125598256626404220866531598469553828789115455711953813504;18.637957396000274;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
20;1967;[0.10712297430856331, 0.079079244268647, 0.17931535472191323, 0.17707358690597624, 0.17021627795491884, 0.15002378356305737, 0.07502813755788595, 0.06214064071903797];21427291728907264;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270405284690822168610426907578157328806806119856417378962370441098516368027172400671582678279255116968452403213272927868695455817299040387801261755686553388803530044023089230411007101935427558565054277323159033900567342506926412629345693693213275385656106821339455434116446029665422390309307855003078285283855575445143552;18.598733326998627;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
