iter;T;amounts;Components;phases;ellapsed_time;possible_phases;P;Error
17;2568;[0.18924292941093918, 0.15172527194922278, 0.07557212762273154, 0.26118835608753477, 0.07826181117421036, 0.13618113056284611, 0.05773883592339503, 0.050089537269120375];18164086843900000;60844839774924148238142269859916978064086373405824207296832869094160113496334737671607021358512343444010090013774665309506387959777976279293523148666108818637387561517553551396046118331670207600941204452397499943407520611316168344865762598710004447368319084183345629398573087951786009263841052628683254096342928579146585983539414974930483889096980102035062067081027657373570805740146906918289052215491614072196334137559011704411521024;13.794042900030036;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
18;1274;[0.2176510549626272, 0.26014255852300466, 0.17012572694014602, 0.12424878175274284, 0.07505665664728023, 0.05192449952132568, 0.050343942728372254, 0.05050677892450097];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;14.244015700009186;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
19;1967;[0.16435339236611662, 0.09708453571549161, 0.2390890134140578, 0.1557169654770831, 0.11718782050550577, 0.10590241297302852, 0.06398800597084654, 0.05667785357787005];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149467378035629112896304333475537181312636059148432360242873460473131305428684981979437506741937315187732364637839783047992683014654252214801428352038219892493376552159670688736267523732792098117909131670809972673441898050216725622242923358255275073881844519591003025130528580760996849035604139240404710378181429074614260796541765362271141363531726800814080;13.544927100010682;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
20;703;[0.09352842375449003, 0.46044476932792683, 0.17264086631310843, 0.05333781489388125, 0.05521296373906457, 0.061796131403641, 0.0514298383856633, 0.05160919218222446];18164086843900000;2244778375067778479848165629457974911585537016341173044740851073593282763040637836446485330550951047490515393873158692188959083036512386630714354721963660887710641038622097474259913232515873365350195197031957168462338581585016633913759602328014394940248674154123110338455618859117953078280990225454373900978692442742252988008110395619082835889445104247305923015067586011850425565821301295246104784994752586832156319325000549555284598198829375921644896256;13.815906900039408;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
21;2194;[0.1998840026831803, 0.4655767396814799, 0.0653054663286417, 0.06656712430428924, 0.05146760806953318, 0.05006066516492111, 0.05113771079227108, 0.050000682975683615];18164086843900000;60844839774924148238142269859916978064086373405824207296832869094160113496334737671607021358512343444010090013774665309506387959777976279293523148666108818637387561517553551396046118331670207600941204452397499943407520611316168344865762598710004447368319084183345629398573087951786009263841052628683254096342928579146585983539414974930483889096980102035062067081027657373570805740146906918289052215491614072196334137559011704411521024;14.11641979997512;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
22;682;[0.6066093647495981, 0.0874952164598345, 0.0511117222080518, 0.05270641560047951, 0.05061269721261786, 0.050903848054054374, 0.05007915255148081, 0.050481583163883036];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.908019300026353;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
23;1899;[0.2091225665115155, 0.39567960829335724, 0.09331613990413558, 0.07194665073963083, 0.0786580370372208, 0.051271880559426976, 0.050003250446017986, 0.05000186650869508];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.85101039998699;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
24;934;[0.1942443422412857, 0.15581597726184476, 0.07223799705335146, 0.31339928480511037, 0.05576707517304538, 0.07786094776501584, 0.05305767960506408, 0.07761669609528248];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.814839800004847;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
25;2475;[0.14577434524205732, 0.5357125157511492, 0.051588437914603096, 0.05338933757176027, 0.058836314172594925, 0.0540605647785867, 0.05045939861248797, 0.05017908595676054];18164086843900000;60844839774924148238142269859916978064086373405824207296832869094160113496334737671607021358512343444010090013774665309506387959777976279293523148666108818637387561517553551396046118331670207600941204452397499943407520611316168344865762598710004447368319084183345629398573087951786009263841052628683254096342928579146585983539414974930483889096980102035062067081027657373570805740146906918289052215491614072196334137559011704411521024;13.51463990000775;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
26;2633;[0.19814767586480747, 0.31888364802752367, 0.1635866057922109, 0.0792621244268083, 0.07366114836680149, 0.058823142277665046, 0.0575282386413321, 0.050107416602851014];18164086843900000;60844839774924148238142269859916978064086373405824207296832869094160113496334737671607021358512343444010090013774665309506387959777976279293523148666108818637387561517553551396046118331670207600941204452397499943407520611316168344865762598710004447368319084183345629398573087951786009263841052628683254096342928579146585983539414974930483889096980102035062067081027657373570805740146906918289052215491614072196334137559011704411521024;13.539822300022934;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
