,T**0,T**(-1.0),T,T**2.0,T**3.0,Tlog(T),phase,S1,S2,T**(-9.0),T**4.0,S3,S4,T**7.0,T**(-3.0),T**(-2.0),S5,T**(-5.0),T**(-7.0),Tlog(1.0e-5*P)
76,-66179.9250000000,-411459.000000000,189.576143000000,-0.0101622900000000,2.90733000000000e-7,-41.0122725000000,AGLA_B2,AG,LA,,,,,,,,,,,
77,0,,,,,,AGMG3,AG,MG,,,,,,,,,,,
78,-135910.179000000,19399169.5000000,895.621381000000,0.0384127060000000,-3.22339700000000e-6,-131.014602350000,AGND,AG,ND,,,,,,,,,,,
79,-88586.4810000000,10637210.0000000,1021.69543000000,0.0875601500000000,-1.15187130000000e-5,-155.706744900000,AGSB_ORTHO,AU,AU,,,,,,,,,,,
80,-2209.51200000000,-12011.0000000000,118.202013000000,-0.00179058500000000,-3.98587000000000e-7,-23.8463314000000,AGSB_ORTHO,AG,AG,,,,,,,,,,,
81,-6738.83000000000,,169.485872000000,,,-31.3800000000000,AGSB_ORTHO,SB,SB,1.61684900000000e+27,,,,,,,,,,
82,-28803.7542500000,2650294.25000000,344.075367250000,0.0205470987500000,-3.17861850000000e-6,-56.8114347750000,AGSB_ORTHO,AG,AU,,,,,,,,,,,
83,-61992.2387500000,7974904.75000000,795.822075750000,0.0652224662500000,-8.73868150000000e-6,-122.741641525000,AGSB_ORTHO,AU,AG,,,,,,,,,,,
84,0,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
85,0,,,,,,AGSB_ORTHO,AU,AG,,,,,,,,,,,
86,0,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
87,0,,,,,,AGSB_ORTHO,AG,AU,,,,,,,,,,,
88,-11750.0000000000,,9.15000000000000,,,,AGSB_ORTHO,AG,SB,,,,,,,,,,,
89,-48000.0000000000,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
90,-35500.0000000000,,9.85850000000000,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
91,0,,,,,,AGSB_ORTHO,AG,AU,,,,,,,,,,,
92,0,,,,,,AGSB_ORTHO,AU,AG,,,,,,,,,,,
93,0,,,,,,AGSB_ORTHO,SB,AG,,,,,,,,,,,
94,0,,,,,,AGSB_ORTHO,AG,AU,,,,,,,,,,,
95,0,,,,,,AGSB_ORTHO,AU,AG,,,,,,,,,,,
96,-7297.35000000000,-9008.25000000000,119.844213250000,-0.00134293875000000,-2.98940250000000e-7,-24.6837485500000,AGSB_ORTHO,AG,BI,4.15772500000000e+24,,,,,,,,,,
97,0,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
98,-500.000000000000,,-0.850000000000000,,,,AGSB_ORTHO,AG,BI,,,,,,,,,,,
99,-8753.68130000000,-9008.25000000000,127.200077750000,-0.00134293875000000,-2.98940250000000e-7,-25.7297485500000,AGSB_ORTHO,AG,SB,4.04212250000000e+26,,,,,,,,,,
100,-194.660700000000,-3002.75000000000,160.487807250000,-0.000447646250000000,-9.96467500000000e-8,-29.4965828500000,AGSB_ORTHO,SB,AG,1.21263675000000e+27,,,,,,,,,,
101,-5788.53980000000,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
102,10491.7900000000,,,,,,AGSB_ORTHO,AG,SB,,,,,,,,,,,
103,0,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
104,0,,,,,,AGSB_ORTHO,SB,AG,,,,,,,,,,,
105,-11085.3000000000,4390.00000000000,110.014710000000,-0.00359000000000000,,-23.1800000000000,AGSB_ORTHO,AG,SN,,,,,,,,,,,
106,0,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
107,-22200.7427500000,2659302.50000000,382.538261500000,0.0218900375000000,-2.87967825000000e-6,-62.4616862250000,AGSB_ORTHO,SB,AU,1.21263675000000e+27,,,,,,,,,,
108,-73124.5682500000,7977907.50000000,808.643040500000,0.0656701125000000,-8.63903475000000e-6,-124.625058675000,AGSB_ORTHO,AU,SB,4.04212250000000e+26,,,,,,,,,,
109,0,,,,,,AGSB_ORTHO,AU,AU,,,,,,,,,,,
110,0,,,,,,AGSB_ORTHO,AU,AU,,,,,,,,,,,
111,0,,,,,,AGSB_ORTHO,SB,AU,,,,,,,,,,,
112,0,,,,,,AGSB_ORTHO,AU,SB,,,,,,,,,,,
113,-10868.3622500000,,161.863624000000,,,-30.6478000000000,AGSB_ORTHO,SB,SN,1.20956000000000e+27,,,,,,,,,,
114,0,,,,,,AGSB_ORTHO,SB,SB,,,,,,,,,,,
115,-35720.8000000000,-12011.0000000000,236.262000000000,-0.00236388000000000,-1.25793000000000e-6,-48.7595000000000,AGSC,AG,SC,,,,,,,,,,,
116,-41885.3400000000,,331.682830000000,,,-63.6192000000000,AGSR,AG,SR,,,,,,,,,,,
117,11817.6740000000,-2955320.00000000,133.953076000000,-0.0162930000000000,4.05430000000000e-7,-29.8932000000000,AGTI,TI,TI,,,,,,,,,,,
118,-4419.02400000000,-24022.0000000000,236.404026000000,-0.00358117000000000,-7.97174000000000e-7,-47.6926628000000,AGTI,AG,AG,,,,,,,,,,,
119,-10886.2750000000,-1489671.00000000,187.338551000000,-0.00993708500000000,-1.95872000000000e-7,-38.7929314000000,AGTI,AG,TI,,,,,,,,,,,
120,9053.72500000000,-1489671.00000000,183.018551000000,-0.00993708500000000,-1.95872000000000e-7,-38.7929314000000,AGTI,TI,AG,,,,,,,,,,,
121,-8271.70000000000,,23.9100000000000,,,,AGTI,AG,AG,,,,,,,,,,,
122,-8271.70000000000,,23.9100000000000,,,,AGTI,AG,AG,,,,,,,,,,,
123,-13292.4900000000,,26.0400000000000,,,,AGTI,AG,TI,,,,,,,,,,,
124,-13292.4900000000,,26.0400000000000,,,,AGTI,TI,AG,,,,,,,,,,,
125,-12281.5380000000,-2967331.00000000,254.413089000000,-0.0180835850000000,6.84300000000000e-9,-53.7395314000000,AGTI2,AG,TI,,,,,,,,,,,
126,-74379.2577400000,-12011.0000000000,236.395117000000,-0.00561176520000000,-4.81121534000000e-7,-47.3405141000000,AGY_B2,AG,Y,,,,,,,,,,,
127,-166044.660000000,-84077.0000000000,1861.48795500000,-0.0125340950000000,-2.79010900000000e-6,-365.290719800000,AGZN_GAMMA,AG,AG,2.82282000000000e+27,,AG,ZN,,,,,,,
128,-206715.528000000,-60055.0000000000,1969.77521700000,-0.00895292500000000,-1.99293500000000e-6,-378.274857000000,AGZN_GAMMA,ZN,AG,3.76376000000000e+27,,AG,ZN,,,,,,,
129,-137169.298000000,-60055.0000000000,1969.77521700000,-0.00895292500000000,-1.99293500000000e-6,-389.036557000000,AGZN_GAMMA,AG,ZN,3.76376000000000e+27,,AG,ZN,,,,,,,
130,-192418.826000000,-36033.0000000000,2078.06247900000,-0.00537175500000000,-1.19576100000000e-6,-389.153694200000,AGZN_GAMMA,ZN,ZN,4.70470000000000e+27,,AG,ZN,,,,,,,
131,0,,,,,,AGZN_GAMMA,AG,AG,,,AG,ZN,,,,,,,
132,0,,,,,,AGZN_GAMMA,AG,ZN,,,AG,ZN,,,,,,,
133,0,,,,,,AGZN_GAMMA,AG,AG,,,AG,ZN,,,,,,,
134,0,,,,,,AGZN_GAMMA,ZN,AG,,,AG,ZN,,,,,,,
135,-24550.7580000000,,509.505732000000,,,-94.1400000000000,AGZN_ZETA,ZN,ZN,1.41141000000000e+27,,,,,,,,,,
136,-43002.6100000000,-24022.0000000000,404.139270000000,-0.00358117000000000,-7.97174000000000e-7,-79.0726628000000,AGZN_ZETA,ZN,AG,4.70470000000000e+26,,,,,,,,,,
137,-32070.0000000000,,,,,,AGZN_ZETA,ZN,AG,,,,,,,,,,,
138,-14435.6180000000,11480.0000000000,122.543540000000,-0.00308424750000000,-1.99293500000000e-7,-24.0040650000000,AGZR,AG,ZR,,,,,,,,,,,
139,-16562.5753000000,19310.3333000000,124.975147000000,-0.00351547000000000,-1.32862333000000e-7,-24.0566440000000,AGZR2,AG,ZR,,,,,,,,,,,
140,-678330.913000000,,2644.36759200000,,,-452.156512000000,AL11LA3D,AL11LA3,,,,,,,,,,,,
141,-642590.913000000,,2618.36759200000,,,-452.156512000000,AL11LA3F,AL11LA3,,,,,,,,,,,,
142,-473861.171000000,309436.000000000,2675.09249600000,-0.0175900800000000,-2.35708000000000e-7,-443.287312000000,AL11MN4,AL,FE,-1.35368420000000e+29,,,,,,,,,,
143,0,,,,,,AL11MN4,AL,FE,,,,,,,,,,,
144,-511213.091000000,279308.000000000,2698.79244600000,-0.0293907200000000,,-443.062912000000,AL11MN4,AL,MN,-1.35368420000000e+29,,,,,,,,,,
145,-720265.770000000,2409900.00000000,2028.51620000000,-0.0709000000000000,5.75466670000000e-6,-354.387300000000,AL11PR3,AL,PR,,,,,,,,,,,
146,-709165.963000000,5505080.00000000,2961.19460000000,0.00898260000000000,-1.12734000000000e-6,-483.574112000000,AL11RE4,AL,RE,-1.35368420000000e+29,,,,,,,,,,
147,-587173.240000000,4053500.00000000,2285.00690000000,-0.0593700000000000,4.85733330000000e-6,-398.514500000000,AL11SM3_HT,AL,SM,,,,,,,,,,,
148,-752529.530000000,4032350.00000000,2399.21970000000,-0.0604100000000000,4.94850000000000e-6,-397.023800000000,AL11SM3_LT,AL,SM,,,,,,,,,,,
149,-1124841.70000000,-751850.000000000,2623.73910000000,-0.315285000000000,5.85850000000000e-5,-440.780000000000,AL11TI5,AL,TI,,-6.12525000000000e-9,,,,,,,,,
150,-686797.940000000,2792700.00000000,2128.71720000000,-0.0590050000000000,4.96166670000000e-6,-367.540700000000,AL11_CEND3_H,AL,CE,,,,,,,,,,,
151,-648442.620000000,2002600.00000000,1930.74440000000,-0.0850650000000000,6.72483330000000e-6,-338.768600000000,AL11_CEND3_H,AL,ND,,,,,,,,,,,
152,-696197.940000000,2792700.00000000,2135.96720000000,-0.0590050000000000,4.96166670000000e-6,-367.540700000000,AL11_CEND3_L,AL,CE,,,,,,,,,,,
153,-669356.770000000,1999150.00000000,1946.21760000000,-0.0852000000000000,6.73533330000000e-6,-338.519900000000,AL11_CEND3_L,AL,ND,,,,,,,,,,,
154,-239932.632000000,77359.0000000000,2421.92843200000,-0.00439752000000000,-5.89270000000000e-8,-404.492604000000,AL12MN,AL,FE,-1.47674640000000e+29,,,,,,,,,,
155,0,,,,,,AL12MN,AL,FE,,,,,,,,,,,
156,-269185.612000000,69827.0000000000,2449.24966200000,-0.00734768000000000,,-404.436504000000,AL12MN,AL,MN,-1.47674640000000e+29,,,,,,,,,,
157,-293766.260000000,,2492.71570000000,,,-413.424000000000,AL12MO,AL,MO,,,,,,,,,,,
158,-338261.630000000,1376270.00000000,2509.74495800000,0.00224565000000000,-2.81835000000000e-7,-414.564304000000,AL12RE,AL,RE,-1.47674640000000e+29,,,,,,,,,,
159,-215385.600000000,,2455.15870000000,,,-411.388100000000,AL12W,AL,W,,,,,,,,,,,
160,-1678213.99100000,57541344.0000000,7160.01249100000,0.136533404000000,-7.35947100000000e-6,-1072.70343530000,AL13BA7,AL,BA,-1.59980860000000e+29,,,,,,,,,,
161,-857137.729000000,290108.000000000,3156.75780800000,-0.0106189560000000,-6.93920000000000e-7,-513.070896000000,AL13CO4,AL,CO,-1.59980860000000e+29,,,,,,,,,,
162,-39054.3066650000,18179.3650000000,180.954854040000,-0.00103341720000000,-1.38478450000000e-8,-29.8132273800000,AL13FE4,AL,FE,-9.41425830000000e+27,,AL,,,,,,,,
163,-34570.4320275000,18179.3650000000,154.827385340000,-0.00103341720000000,-1.38478450000000e-8,-25.4478509800000,AL13FE4,AL,FE,-7.72215305000000e+27,,VA,,,,,,,,
164,0,,,,,,AL13FE4,AL,FE,,,AL,,,,,,,,
165,-11987.0000000000,,6.00000000000000,,,,AL13FE4,AL,FE,,,AL,,,,,,,,
166,-11987.0000000000,,6.00000000000000,,,,AL13FE4,AL,FE,,,VA,,,,,,,,
167,-29924.8267650000,42471.0775000000,166.440853452500,-0.00129644150000000,-1.43362450000000e-8,-28.5872170587500,AL13FE4,AL,FE,-7.72215305000000e+27,,SI,,,,,,,,
168,0,,,,,,AL13FE4,AL,FE,,,AL,,,,,,,,
169,0,,,,,,AL13FE4,AL,FE,,,SI,,,,,,,,
170,-30535.0369650000,16409.3450000000,184.907229040000,-0.00172670480000000,,-29.8000438800000,AL13FE4,AL,MN,-9.41425830000000e+27,,AL,,,,,,,,
171,-25984.2623275000,16409.3450000000,158.963160340000,-0.00172670480000000,,-25.4346674800000,AL13FE4,AL,MN,-7.72215305000000e+27,,VA,,,,,,,,
172,0,,,,,,AL13FE4,AL,MN,,,AL,,,,,,,,
173,-1266613.84500000,-80332.0000000000,3042.25424400000,-0.0123679040000000,,-503.904096000000,AL13IR4,AL,IR,-1.59980860000000e+29,,,,,,,,,,
174,-853037.390000000,1188704.00000000,2396.63042000000,-0.0407508700000000,-1.07039900000000e-5,-408.430888000000,AL13RU4,AL,RU,,,,,,,,,,,
175,-1489960.02500000,-8899720.00000000,4634.71599200000,-0.0574017600000000,1.52892000000000e-6,-775.278432000000,AL21PD8,AL,PD,-2.58430620000000e+29,,,,,,,,,,
176,-1649407.20000000,4051200.00000000,3922.93620000000,-0.103135000000000,7.86666670000000e-6,-655.856300000000,AL21PT5,AL,PT,,,,,,,,,,,
177,-2393443.90000000,3803800.00000000,4295.47350000000,-0.116285000000000,8.37750000000000e-6,-722.522200000000,AL21PT8,AL,PT,,,,,,,,,,,
178,-499557.080900000,,4298.02359713000,0.000125000000000000,-1.36000000000000e-6,-718.512032000000,AL21V2,AL,V,-2.58430620000000e+29,,,,,,,,,,
179,-778038.043700000,,5012.35025888000,0.000250000000000000,-2.72000000000000e-6,-833.808416000000,AL23V4,AL,V,-2.83043060000000e+29,,,,,,,,,,
180,-2808010.70000000,-180747.000000000,6591.56687900000,-0.0278277840000000,,-1094.09897600000,AL28IR9,AL,IR,-3.44574160000000e+29,,,,,,,,,,
181,-84778.5530000000,-133240.000000000,291.281730000000,-0.0302475000000000,5.02766670000000e-6,-55.6380000000000,AL2AU,AL2AU,,,-3.96141670000000e-10,,,,,,,,,
182,0,,,,,,AL2AU5,AL2AU5,,,,,,,,,,,,
183,-237173.850200000,140365.000000000,561.786500000000,-0.0458540000000000,4.80800000000000e-6,-91.9370000000000,AL2CASI2,AL,CA,,,SI,,,,,,,,
184,-107971.790000000,-78890.0000000000,318.067820000000,-0.0230820000000000,-1.74050000000000e-6,-57.9640000000000,AL2CA_C15,AL,CA,,1.05800000000000e-9,,,,,,,,,
185,-241964.400000000,-1035250.00000000,339.750620000000,-0.0517850000000000,3.26933330000000e-6,-80.3352000000000,AL2DY3,AL,DY,,,,,,,,,,,
186,-252047.180000000,-727050.000000000,419.211540000000,-0.0451765000000000,3.38883330000000e-6,-92.9977000000000,AL2ER3,AL,ER,,,,,,,,,,,
187,-119427.922000000,77359.0000000000,520.252572000000,-0.00439752000000000,-5.89270000000000e-8,-87.0106840000000,AL2FE,AL,FE,-2.46124400000000e+28,,,,,,,,,,
188,0,,,,,,AL2FE,AL,FE,,,,,,,,,,,
189,-44736.0020000000,69827.0000000000,507.427272000000,-0.00734768000000000,,-86.9545840000000,AL2FE,AL,MN,-2.46124400000000e+28,,,,,,,,,,
190,-249291.040000000,-282475.000000000,482.629910000000,-0.0397555000000000,2.93683330000000e-6,-100.630600000000,AL2GD3,AL,GD,,,,,,,,,,,
191,-288058.613000000,-67770.0000000000,721.800350000000,-0.0124384350000000,-1.43100000000000e-9,-131.618884000000,AL2HF3,AL,HF,-2.46124400000000e+28,,,,,,,,,,
192,-154563.019000000,-22590.0000000000,484.953298000000,-0.00414614500000000,-4.77000000000000e-10,-86.2038840000000,AL2HF_C14,AL,HF,-2.46124400000000e+28,,,,,,,,,,
193,-234575.200000000,-1861550.00000000,150.421360000000,-0.0729700000000000,5.48533330000000e-6,-53.9401000000000,AL2HO3,AL,HO,,,,,,,,,,,
194,-174239.986000000,,568.480849000000,,,-97.8051840000000,AL2LA,AL2LA,,,,,,,,,,,,
195,0,,,,,,AL2LI3,AL,LI,,,,,,,,,,,
196,21051.4730000000,,1320.78895200000,,,-222.237344000000,AL2PD5,AL,AL,-8.61435400000000e+28,,,,,,,,,,
