,T_min,T_max,T**0,T**(-1.0),T,T**2.0,T**3.0,Tlog(T),phase,S1,S2,T**4.0,T**(-9.0),S3,S4,T**(-3.0),T**(-2.0),T**7.0,S5,T**(-5.0),T**(-7.0),Tlog(1.0e-5*P)
78,1000.00000000000,1508.15000000000,-81183.2500000000,,95.6919917000000,-0.00185225011000000,-6.61211607000000e-7,-24.6598297000000,AG2GD_C11B,AG,GD,,,,,,,,,,,
79,1508.15000000000,3600.00000000000,-197824.990000000,29356890.3000000,699.125536100000,0.0150644246000000,-6.39165948000000e-7,-101.800197000000,AG2GD_C11B,AG,GD,,,,,,,,,,,
80,1234.93000000000,3000.00000000000,-104890.504000000,,380.532808000000,,,-66.9440000000000,AG2GD_C11B,AG,GD,,2.82354600000000e+29,,,,,,,,,
81,298.150000000000,1234.93000000000,-85980.0240000000,-24022.0000000000,236.404026000000,-0.00358117000000000,-7.97174000000000e-7,-47.6926628000000,AG2LA,AG,LA,,,,,,,,,,,
82,,,0,,,,,,AG2LA,AG,LA,,,,,,,,,,,
83,550.000000000000,2000.00000000000,-74942.4130000000,-399448.000000000,59.0611300000000,-0.00837170500000000,6.89320000000000e-7,-17.1659411000000,AG2LA,AG,LA,,,,,,,,,,,
84,2000.00000000000,4000.00000000000,-87169.8820000000,,181.390071000000,,,-34.3088000000000,AG2LA,AG,LA,,,,,,,,,,,
85,1234.93000000000,3000.00000000000,-101751.504000000,,380.532808000000,,,-66.9440000000000,AG2LA,AG,LA,,2.82354600000000e+29,,,,,,,,,
86,298.150000000000,1234.93000000000,-44240.8240000000,-24022.0000000000,236.404026000000,-0.00358117000000000,-7.97174000000000e-7,-47.6926628000000,AG2NA_C15,AG,NA,,,,,,,,,,,
87,,,0,,,,,,AG2NA_C15,AG,NA,,,,,,,,,,,
88,370.870000000000,2300.00000000000,-40831.6840000000,34342.0000000000,199.619999000000,0.00974585400000000,-1.70664000000000e-6,-38.1198801000000,AG2NA_C15,AG,NA,,1.65071000000000e+23,,,,,,,,,
89,1234.93000000000,3000.00000000000,-60012.3040000000,,380.532808000000,,,-66.9440000000000,AG2NA_C15,AG,NA,,2.82354600000000e+29,,,,,,,,,
90,298.150000000000,900.000000000000,-23920.1756900000,11617.3710000000,39.1960958700000,0.000185189625000000,-8.96535900000000e-7,-9.01957140000000,AG2ND_ALPHA,AG,ND,,,,,,,,,,,
91,,,0,,,,,,AG2ND_ALPHA,AG,ND,,,,,,,,,,,
92,1234.93000000000,3000.00000000000,-31190.5330840000,,129.106691468000,,,-22.3258240000000,AG2ND_ALPHA,AG,ND,,9.41652591000000e+28,,,,,,,,,
93,900.000000000000,1128.00000000000,-23447.6996390000,,30.0586514610000,-0.00139993866000000,-6.00066000000000e-7,-7.57694880000000,AG2ND_ALPHA,AG,ND,,,,,,,,,,,
94,1128.00000000000,1799.00000000000,-96250.4117180000,12923846.5500000,559.321569417000,0.0261791270010000,-2.01405293100000e-6,-79.3148968089000,AG2ND_ALPHA,AG,ND,,,,,,,,,,,
95,1799.00000000000,1800.00000000000,-29694.1962230000,,94.1926103040000,,,-16.2455382000000,AG2ND_ALPHA,AG,ND,,,,,,,,,,,
96,298.150000000000,900.000000000000,-23798.1756900000,11617.3710000000,39.0620958700000,0.000185189625000000,-8.96535900000000e-7,-9.01957140000000,AG2ND_BETA,AG,ND,,,,,,,,,,,
97,,,0,,,,,,AG2ND_BETA,AG,ND,,,,,,,,,,,
98,1234.93000000000,3000.00000000000,-31068.5330840000,,126.907691468000,,,-22.3258240000000,AG2ND_BETA,AG,ND,,9.41652591000000e+28,,,,,,,,,
99,900.000000000000,1128.00000000000,-23325.6996390000,,29.9246514610000,-0.00139993866000000,-6.00066000000000e-7,-7.57694880000000,AG2ND_BETA,AG,ND,,,,,,,,,,,
100,1128.00000000000,1799.00000000000,-96128.4117180000,12923846.5500000,559.187569417000,0.0261791270010000,-2.01405293100000e-6,-79.3148968089000,AG2ND_BETA,AG,ND,,,,,,,,,,,
101,1799.00000000000,1800.00000000000,-29572.1962230000,,94.0586103040000,,,-16.2455382000000,AG2ND_BETA,AG,ND,,,,,,,,,,,
102,298.150000000000,800.000000000000,-44430.6000000000,48155.0000000000,368.089000000000,-0.000362250000000000,-2.44248000000000e-6,-75.8809000000000,AG2SC,AG,SC,,,,,,,,,,,
103,800.000000000000,1234.93000000000,-43252.3000000000,-24022.0000000000,347.367000000000,-0.00415447000000000,-1.65652000000000e-6,-72.6059000000000,AG2SC,AG,SC,,,,,,,,,,,
104,1234.93000000000,1608.00000000000,-59023.8000000000,,491.496000000000,-0.000573295000000000,-8.59345000000000e-7,-91.8572000000000,AG2SC,AG,SC,,2.82355000000000e+29,,,,,,,,,
105,1608.00000000000,3000.00000000000,-74405.1000000000,,608.334000000000,,,-106.813000000000,AG2SC,AG,SC,,,,,,,,,,,
106,,,0,,,,,,AG2SC,AG,SC,,,,,,,,,,,
107,298.150000000000,820.000000000000,-53615.8510000000,-26077.0000000000,339.816300000000,-0.00819342000000000,-9.64651000000000e-7,-71.5976630000000,AG2SR,AG,SR,,,,,,,,,,,
108,820.000000000000,1033.50000000000,-59463.5860000000,826112.000000000,385.828520000000,-0.00683243600000000,-6.12985000000000e-7,-77.7832060000000,AG2SR,AG,SR,,,,,,,,,,,
109,1033.50000000000,6000.00000000000,-66270.8740000000,,500.023980000000,,,-94.2875000000000,AG2SR,AG,SR,,,,,,,,,,,
110,,,0,,,,,,AG2SR,AG,SR,,,,,,,,,,,
111,298.150000000000,820.000000000000,-82716.5650000000,-30187.0000000000,550.703460000000,-0.0174179200000000,-1.29960500000000e-6,-119.407660000000,AG2SR3,AG,SR,,,,,,,,,,,
112,820.000000000000,938.290000000000,-100259.770000000,2526380.00000000,688.740140000000,-0.0133349680000000,-2.44607000000000e-7,-137.964290000000,AG2SR3,AG,SR,,,,,,,,,,,
113,938.290000000000,6000.00000000000,-102037.830000000,,821.607620000000,,,-158.541300000000,AG2SR3,AG,SR,,,,,,,,,,,
114,,,0,,,,,,AG2SR3,AG,SR,,,,,,,,,,,
115,298.150000000000,1234.93000000000,-44805.8140000000,-24022.0000000000,236.404026000000,-0.00358117000000000,-7.97174000000000e-7,-47.6926628000000,AG2TE,AG,TE,,,,,,,,,,,
116,,,0,,,,,,AG2TE,AG,TE,,,,,,,,,,,
117,722.660000000000,1150.00000000000,-21226.1950000000,-1286810.00000000,-129.265373000000,-0.0362361000000000,5.00636700000000e-6,13.0040000000000,AG2TE,AG,TE,,,,,,,,,,,
118,1150.00000000000,1600.00000000000,-43168.1390000000,,174.901226000000,,,-32.5596000000000,AG2TE,AG,TE,,,,,,,,,,,
119,1234.93000000000,3000.00000000000,-60577.2940000000,,380.532808000000,,,-66.9440000000000,AG2TE,AG,TE,,2.82354600000000e+29,,,,,,,,,
120,298.150000000000,600.610000000000,-15300.1700000000,,203.400488000000,-0.00731790000000000,-4.87900000000000e-7,-49.0484462000000,AG2TE,PB,TE,,,,,,,,,,,
121,,,0,,,,,,AG2TE,PB,TE,,,,,,,,,,,
122,722.660000000000,1150.00000000000,9160.59500000000,-1286810.00000000,-129.265373000000,-0.0362361000000000,5.00636700000000e-6,13.0040000000000,AG2TE,PB,TE,,,,,,,,,,,
123,1150.00000000000,1600.00000000000,-12781.3490000000,,174.901226000000,,,-32.5596000000000,AG2TE,PB,TE,,,,,,,,,,,
124,600.610000000000,1200.00000000000,-21062.1900000000,,308.486364000000,0.00309226000000000,,-64.9827918000000,AG2TE,PB,TE,,1.61089600000000e+26,,,,,,,,,
125,1200.00000000000,2100.00000000000,8315.23200000000,-5393510.00000000,106.278144000000,-0.00576588600000000,1.96288000000000e-7,-37.9281274000000,AG2TE,PB,TE,,1.61089600000000e+26,,,,,,,,,
126,298.150000000000,1234.93000000000,-96958.0240000000,-24022.0000000000,236.404026000000,-0.00358117000000000,-7.97174000000000e-7,-47.6926628000000,AG2Y_C11B,AG,Y,,,,,,,,,,,
127,,,0,,,,,,AG2Y_C11B,AG,Y,,,,,,,,,,,
128,1000.00000000000,1795.15000000000,-89718.7457400000,,114.497104000000,-0.00382118020000000,-8.25345340000000e-8,-23.4941827000000,AG2Y_C11B,AG,Y,,,,,,,,,,,
129,1795.15000000000,3700.00000000000,-150019.776100000,18077162.6000000,382.124727000000,0.00231774379000000,-7.22513088000000e-8,-56.9527111000000,AG2Y_C11B,AG,Y,,,,,,,,,,,
130,1234.93000000000,3000.00000000000,-112729.504000000,,380.532808000000,,,-66.9440000000000,AG2Y_C11B,AG,Y,,2.82354600000000e+29,,,,,,,,,
131,298.150000000000,1283.15000000000,-61834.2056072642,2322658.03000000,1428.69130789667,-0.0281806525000000,-2.47192000000000e-6,-241.091719000000,AG3BE8,AG,BE,,,,,,,,,,,
132,,,0,,,,,,AG3BE8,AG,BE,,,,,,,,,,,
133,298.150000000000,6000.00000000000,-213297.520000000,-703903.000000000,718.573529000000,-0.0608945050000000,-1.19576100000000e-6,-153.107994200000,AG3CA5,AG,CA,,,,,,,,,,,
134,,,0,,,,,,AG3CA5,AG,CA,,,,,,,,,,,
135,298.150000000000,1234.93000000000,-71292.3886000000,-36033.0000000000,354.606039000000,-0.00537175500000000,-1.19576100000000e-6,-71.5389942000000,AG3GA2_B2,AG,GA,,,,,,,,,,,
136,,,0,,,,,,AG3GA2_B2,AG,GA,,,,,,,,,,,
137,302.910000000000,4000.00000000000,-63775.1386000000,-236664.000000000,265.460380000000,0.000301200000000000,-8.03460000000000e-8,-52.1385812000000,AG3GA2_B2,AG,GA,,3.29094000000000e+23,,,,,,,,,
138,1234.93000000000,3000.00000000000,-94949.6086000000,,570.799212000000,,,-100.416000000000,AG3GA2_B2,AG,GA,,4.23531900000000e+29,,,,,,,,,
139,298.150000000000,1235.07000000000,-17203.0580000000,-12011.0000000000,115.330940000000,-0.00179058500000000,-3.98587000000000e-7,-23.8463310000000,AG3MG,AG,MG,,,,,,,,,,,
140,,,0,,,,,,AG3MG,AG,MG,,,,,,,,,,,
141,298.150000000000,1258.10000000000,-122932.590000000,-162892.710000000,500.461320000000,-0.0295241020000000,2.13830000000000e-6,-107.993030000000,AG4CE,AG,CE,,,,,,,,,,,
142,1258.10000000000,6000.00000000000,-153150.620000000,,877.377790000000,,,-162.181200000000,AG4CE,AG,CE,,,,,,,,,,,
143,,,0,,,,,,AG4CE,AG,CE,,,,,,,,,,,
